"StockDatabaseID","StockKey","StockKeyLabel","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","ActiveYear","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate","ModelType","ModelName"
3378,169137,"mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)",136576,"mac-nea",2023,"Scomber scombrus","Mackerel","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","1",2023,1,2024,"1.0 age-based analytical model (SAM)",NA,"MSY","Catches","Assessment","NA","pelagic piscivore","Pelagic","medium pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.27",18370,"2023-09-27T09:00:11.647+01:00","A","SAM"
3379,169308,"whg.27.6a","Whiting (Merlangius merlangus) in Division 6.a (West of Scotland)",136744,"whg-scow",2023,"Merlangius merlangus","Whiting","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1",2023,1,2024,"SPICT output as the survey series",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.65",18104,"2023-06-29T09:51:19.507+01:00","O",NA
3483,169141,"meg.27.7b-k8abd","Megrim (Lepidorhombus whiffiagonis) in divisions 7.b-k, 8.a-b, and 8.d (west and southwest of Ireland, Bay of Biscay)",136580,"mgw-78",2023,"Lepidorhombus whiffiagonis","Megrim","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","1",2023,1,2024,"A4a statistical catch at age",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Benthic","medium demersal",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.9",18115,"2023-06-29T14:19:52.43+01:00","A",NA
3380,169084,"cod.21.1","Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)",140772,"cod-ingr",2023,"Gadus morhua","Cod","Arctic Ocean Ecoregion, Greenland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,1,2023,"SAM",NA,"MSY","Catches","not used","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2024-03-07T13:44:23.607+01:00","2.3.4",NA,"2023-04-26T09:36:54.377+01:00","A","SAM"
3383,169250,"san.sa.5r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 5r (northern North Sea, Viking and Bergen banks)",136687,"san-ns5",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.3",2023,2,2025,"no assessment",NA,"PA","Catches","negligible","No","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.40",17720,"2023-03-07T09:56:12.87+01:00",NA,NA
3384,169251,"san.sa.6","Sandeel (Ammodytes spp.) in subdivisions 20-22, Sandeel Area 6 (Kattegat)",136688,"san-ns6",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.2",2023,2,2025,"no assessment",NA,"PA","Catches","Not used","Yes in year(s) 2013, 2017, 2021","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.39",17719,"2023-03-07T09:56:53.53+01:00",NA,NA
3385,169252,"san.sa.7r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 7r (northern North Sea, Shetland)",136689,"san-ns7",2023,"Ammodytes","Sandeel","Celtic Seas Ecoregion, Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.3",2023,2,2025,"no assessment",NA,"PA","Catches","negligible","No","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.41",17717,"2023-03-07T09:57:36.36+01:00",NA,NA
3473,169246,"san.sa.1r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)",136683,"san-ns1",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2023,1,2024,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","",17718,"2023-03-07T09:52:29.447+01:00","A","SMS"
3474,169247,"san.sa.2r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, and Subdivision 20, Sandeel Area 2r (Skagerrak, central and southern North Sea)",136684,"san-ns2",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1.2",2023,1,2024,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","",17712,"2023-03-07T09:53:35.29+01:00","A","SMS"
3476,169248,"san.sa.3r","Sandeel (Ammodytes spp.) in Divisions 4.a and 4.b, and Subdivision 20, Sandeel Area 3r (Skagerrak, northern and central North Sea)",136685,"san-ns3",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2023,1,2024,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","negligible","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","",17713,"2023-03-07T09:54:37.76+01:00","A","SMS"
3475,169249,"san.sa.4","Sandeel (Ammodytes spp.) in divisions 4.a and 4.b, Sandeel Area 4 (northern and central North Sea)",136686,"san-ns4",2023,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2023,1,2024,"Age-structured model (SMS-effort), half-yearly time-step.",NA,"MSY","Catches","negligible","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","",17714,"2023-03-07T09:55:33.877+01:00","A","SMS"
3454,169123,"her.27.1-24a514a","Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)",136560,"her-noss",2023,"Clupea harengus","Herring","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","1",2023,1,2024,"Statistical assessment model (XSAM)",NA,"MP","Catches","not used","NA","pelagic planktivore","Pelagic","medium pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.16",18378,"2023-09-27T08:58:19.053+01:00","A","XSAM"
3455,169199,"rja.27.nea","White skate (Rostroraja alba) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",140796,"rja-nea",2023,"Rostroraja alba","White skate","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2023,4,2027,"no assessment",NA,"PA","Landings","not used","No","demersal omnivore","Elasmobranch","large rays",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.33",18263,"2023-10-12T13:00:16.817+01:00",NA,NA
3456,169047,"agn.27.nea","Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136481,"agn-nea",2023,"Squatina squatina","Angel shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2023,4,2027,"no assessment",NA,"PA","No directed fisheries","not used","No","demersal piscivore","Elasmobranch","large sharks",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.1",18356,"2023-10-12T10:50:06.013+01:00",NA,NA
3457,169240,"pok.27.5a","Saithe (Pollachius virens) in Division 5.a (Iceland grounds)",136677,"sai-icel",2023,"Pollachius virens","Saithe","Greenland Sea Ecoregion, Iceland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2023,1,2024,"Age-structured model, separable statistical catch-at-age model",NA,"MP","Catches","Not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","2.3.15",18202,"2023-06-20T16:57:07.847+01:00","A","Unknown"
3464,169074,"cap.27.2a514","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",136507,"cap-icel",2023,"Mallotus villosus","Capelin","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","NWWG","North-Western Working Group","ADGICAPFS","Advice Drafting Group on Icelandic capelin and Faroese fish stocks","1.8",2022,1,2023,"Age-structured model, takes into account CV in surveys and predation from cod, haddock, and saithe of capelin and p(SSB< Blim|Catch)< 0.05",NA,"MP","Quota","not used","NA","na","Pelagic","na",TRUE,"2024-03-07T13:44:23.607+01:00","2.3.1",NA,"2023-01-05T10:05:06.287+01:00","A","Unknown"
3386,169280,"spr.27.67a-cf-k","Sprat (Sprattus sprattus) in Subarea 6 and Divisions 7.a-c and 7.f-k (West of Scotland, southern Celtic Seas)",136720,"spr-celt",2023,"Sprattus sprattus","Sprat","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSprat","Sprat Advice Drafting Group","5.2",2023,2,2025,"no assessment",NA,"PA","Catches","Not used","Yes in year(s) 2012, 2017, 2021","pelagic planktivore","Pelagic","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.61",17750,"2023-06-27T12:24:32.623+01:00",NA,NA
3387,169281,"spr.27.7de","Sprat (Sprattus sprattus) in divisions 7.d and 7.e (English Channel)",136721,"spr-ech",2023,"Sprattus sprattus","Sprat","Celtic Seas Ecoregion, Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSprat","Sprat Advice Drafting Group","3.2",2023,1,2024,"Biomass trend",NA,"MSY","Catches","Not used","Yes in year(s) 2013, 2017, 2020","pelagic planktivore","Pelagic","small pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","5.3.59",17751,"2023-06-21T11:58:13.177+01:00","B",NA
3388,169262,"reb.27.1-2","Beaked redfish  (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic)",136702,"smn-arct",2023,"Sebastes mentella","Beaked redfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2020,2,2022,"Age-structured model, statistical catch-at-age",NA,"PA","Catches","Not used","NA","demersal piscivore","Pelagic","medium pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","3.3.8",NA,"2022-09-30T13:15:38.707+01:00","A","Unknown"
3389,169268,"reg.27.1-2","Golden redfish (Sebastes norvegicus) in subareas 1 and 2 (Northeast Arctic)",136708,"smr-arct",2023,"Sebastes norvegicus","Golden redfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,2,2024,"Age-length structured model (Gadget).",NA,"PA","Catches","Not used","NA","demersal piscivore","Demersal","medium pelagic",TRUE,"2024-03-07T13:44:23.607+01:00","3.3.9",NA,"2022-09-30T13:30:52.513+01:00","AL","Gadget"
3390,169059,"aru.27.5a14","Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136490,"arg-icel",2023,"Argentina silus","Greater silver smelt","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","1",2023,1,2024,"GADGET",NA,"MSY","Catches","not used","NA","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.4",18200,"2023-05-22T09:16:05.057+01:00","AL","Gadget"
3391,169135,"lin.27.5a","Ling (Molva molva) in Division 5.a (Iceland grounds)",136574,"lin-icel",2023,"Molva molva","Ling","Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","1",2023,1,2024,"Age- and length-structured model (Gadget)",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2024-03-07T13:44:23.607+01:00","9.3.25",18044,"2023-11-14T09:41:04.577+01:00","AL","SAM"
3392,169145,"nep.fu.10","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 10 (northern North Sea, Noup)",136585,"nep-10",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","4.14",2022,2,2024,"Data-limited approach for Nephrops",NA,"PA","Catches","Advice","No","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.13",NA,"2022-11-04T11:48:27.973+01:00",NA,NA
3393,169168,"nep.fu.7","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 7 (northern North Sea, Fladen Ground)",136608,"nep-7",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2023,1,2024,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"MSY","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.20",18358,"2023-11-10T10:39:03.827+01:00","O","Unknown"
3394,169169,"nep.fu.8","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 8 (central North Sea, Firth of Forth)",136609,"nep-8",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2023,1,2024,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"MSY","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.21",18405,"2023-11-10T10:40:22.487+01:00","O","Unknown"
3395,169170,"nep.fu.9","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 9 (central North Sea, Moray Firth)",136610,"nep-9",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2023,1,2024,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"MSY","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.22",18357,"2023-11-10T10:42:19.227+01:00","O","Unknown"
3396,169164,"nep.fu.34","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 34 (central North Sea, Devil’s Hole)",137181,"nep-34",2023,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","4.14",2022,2,2024,"Data-limited approach for Nephrops",NA,"PA","Catches","Advice","Yes in year(s) 2018","crustacean","Crustacean","crustacean",TRUE,"2024-03-07T13:44:23.607+01:00","6.3.16",NA,"2022-11-04T11:55:03.8+01:00",NA,NA
